一[一]	 	說文: 惟初太始道立於一造分天地化成萬物凡一之屬皆從一Etym: Primitive pictograph 一. From a single line. Meaning one.
虽[雖]	 	說文: 似蜥蜴而大從虫唯聲Etym: Deletion remnant 虽(t雖). From 虽 [From mouth 口 and insect 虫. Meaning a kind of insect]  and phonetic 隹. Originally a kind of insect. Now meaning although.Phon: 隹 zhui1 cui1 wei2 Simplify: (deletion 虽(雖-隹))
虾[蝦]	 	說文: 蝦蟆也從虫叚聲Etym: Phonetic substitution 虾蝦. From insect 虫 and phonetic 下叚. Meaning shrimp.Phon: 叚 jia3 Simplify: (虫) left of (phonetic-phonetic substitution 下叚)
虿[蠆]	 	說文: 毒蟲也象形Simplify: (s万萬) above (虫)
蚀[蝕]	 	說文: 敗創也從虫人食食亦聲Etym: From food 饣食 and insect 虫. Meaning to nibble.Phon: 食 shi2 Simplify: (C01饣飠) left of (虫)
蚁[蟻]	 	Etym: Super cursive remnant 蚁蟻. From insect 虫 and phonetic 义義. Meaning ants.Phon: 義 yi4 我 wo3 Simplify: (虫) left of (s义義)
蚂[螞]	 	Etym: From insect 虫 and phonetic 马馬. Meaning ant.Phon: 馬 ma3 Simplify: (虫) left of (s马馬)
蚊[蚊]	 	說文: 俗蟁從虫從文Etym: From insect 虫 and phonetic 文. Meaning mosquito.Phon: 文 wen2 wen3 
蚌[蚌]	 	說文: 蜃屬從虫丰聲Etym: From insect 虫 (or other small animal) and phonetic 丰. Meaning oysters.Phon: 丰 feng1 
蚓[蚓]	 	說文: 螾或從引Etym: From insect 虫 and phonetic 引. Meaning earth worm.Phon: 引 yin3 
蚜[蚜]	 	Etym: From insect 虫 and phonetic 牙. Meaning aphid.
蚣[蚣]	 	說文: 蜙或省Etym: From insect 虫 and phonetic 公. Meaning centipede.Phon: 公 gong1 
蚤[蚤]	 	說文: 齧人跳蟲從****聲**古文爪字Etym: Primitive pictograph 蚤. An insect 虫 that needs to be scratched with the hand 叉. Meaning a louse.Phon: 蚤 zao3  (productive phonetic)
蚩[蚩]	 	說文: 蟲也從虫之聲Etym: Primitive pictograph 蚩. An insect. Meaning worm.Phon: 蚩 chi1 之 zhi1 zhi4  (productive phonetic)
蚪[蚪]	 	Etym: From insect 虫 and phonetic 斗. Meaning tadpole.Phon: 斗 dou3 
蚯[蚯]	 	Etym: From insect 虫 and phonetic 丘. Meaning earthworm.Phon: 丘 qiu1 
蛀[蛀]	 	Etym: From insect 虫 and phonetic 主. Meaning an insect that eats books.Phon: 主 zhu3 zhu4 
蛄[蛄]	 	說文: 螻蛄也從虫古聲Phon: 古 gu3 gu4 ku1 
蛆[蛆]	 	Etym: From insect 虫 and phonetic 且. Meaning maggot.Phon: 且 qie2 ju1 cu2 
蛇[蛇]	 	說文: 它或從虫Etym: From insect 虫 and snake 它 a snake. (虫 was probably originally a snake too). Meaning snake.Phon: 它㐌 ta1 tuo2 yi2 
蛉[蛉]	 	Etym: From insect 虫 and phonetic 令. Meaning dragonfly.
蛊[蠱]	 	說文: 腹中蟲也春秋傳曰皿蟲為蠱晦淫之所生也臬桀死之鬼亦為蟲從蟲從皿皿物之用也Simplify: (B009虫蟲) above (皿)
蛋[蛋]	 	Etym: From leg 疋 (probably originally phonetic 延) and insect (probably a snake) 虫. Meaning an egg.
蛔[蛔]	 	Etym: From insect 虫 and phonetic 回. Meaning tapewormPhon: 回囘 hui2 
蛙[蛙]	 	Etym: From insect 虫 and phonetic 圭. Meaning frog.Phon: 圭 gui1 
蛛[蛛]	 	說文: 鼄或從虫Etym: From insect 虫 and phonetic 朱. Meaning spider.Phon: 朱 zhu1 shu1 
蛟[蛟]	 	說文: 龍之屬也池魚滿三千六百蛟來為之長能率魚飛置笱水中即蛟去從虫交聲Phon: 交 jiao1 
蛤[蛤]	 	Etym: From insect 虫 and phonetic 合. Meaning clam.Phon: 合 he2 ge2 qia4 
蛭[蛭]	 	說文: 蟣也從虫至聲Phon: 至 zhi4 
蛮[蠻]	 	說文: 南蠻蛇穜從虫聲Etym: From insect 虫 and phonetic (also meaning the rains of a horse) 亦䜌. Meaning barbarians.Phon:  luan2 Simplify: (s亦龻) above (虫)
蛲[蟯]	 	說文: 腹中短蟲也從虫堯聲Phon: 堯 yao2 垚 yao2 Simplify: (虫) left of (s尧堯)
蛹[蛹]	 	說文: 繭蟲也從虫甬聲Etym: From insect 虫 and phonetic 甬. Meaning larva.Phon: 甬 yong3 dong4 用 yong4 
蜕[蛻]	 	說文: 蛇蟬所解皮也財富虫挩省Etym: From insect 虫 and phonetic 兑兌. Meaning to molt.Phon: 兌 dui4 sui4 rui4 duo2 
蛾[蛾]	 	說文: 羅也從虫我聲臣鉉等案爾雅蛾羅蠶蛾也**部已有**或作蛾此重出Etym: From insect 虫 and phonetic 我. Meaning moth.Phon: 我 wo3 
蜀[蜀]	 	說文: 葵中蠶也從虫上目象蜀頭形中象其身蜎蜎詩曰蜎蜎者蜀Etym: Primitive pictograph 蜀. An insect 虫 and something * With an eye 目 and a tail, perhaps a catterpiller. Original meaning silk worm.Phon: 蜀 shu3  (productive phonetic)
蜂[蜂]	 	Etym: From insect 虫 and phonetic 夆. Meaning bee.Phon: 夆 feng1 丰 feng1 
蜃[蜃]	 	說文: 雉入海化為蜃從虫辰聲Phon: 辰 chen2 
蜈[蜈]	 	Etym: From insect 虫 and phonetic 吴. Meaning centipede.Phon: 吳吴 wu2 
蜒[蜒]	 	Etym: From insect 虫 and phonetic 延. Meaning millipede.
蜓[蜓]	 	說文: 蝘蜓也從虫廷聲一曰螾蜓Etym: From insect 虫 and phonetic 廷. Meaning dragonfly.Phon: 廷 ting2 (壬 D844 DE3C) ting2 zheng1 
蜗[蝸]	 	說文: 蝸蠃也從虫咼聲Etym: From insect 虫 and phonetic 呙咼. Meaning snail.Phon: 咼 gua3 wo1 guo1 wai1 冎 gua3 Simplify: (虫) left of (s呙咼)
蜘[蜘]	 	Etym: From insect 虫 and phonetic 知. Meaning spider.Phon: 知 zhi1 zhi4 矢 shi3 
蜜[蜜]	 	說文: **或從宓Etym: From insect 虫 and phonetic 宓. Meaning honey.Phon: 宓 mi4 必 bi4 
蜢[蜢]	 	說文: 虴蜢也從虫孟聲Phon: 孟 meng4 皿 min3 
蜥[蜥]	 	說文: 蜥易也從虫析聲Phon: 析 xi1 
蜻[蜻]	 	說文: 蜻蛚也從虫青聲Etym: From insect 虫 and phonetic 青. Meaning dragonfly.Phon: 青靑 qing1 井 jing3 
蝇[蠅]	 	說文: 營營青蠅蟲之大腹者從黽從虫Etym: From insect 虫 and fly 黾黽. Meaning flies.Phon: 黽 min3 meng3 Simplify: (虫) left of (s黾黽)
蝈[蟈]	 	說文: 蜮又從國臣鉉等曰今俗作古獲切以為蝦蟆之別名Phon: 國 guo2 或 huo4 yu4 Simplify: (虫) left of (s国國)
蝉[蟬]	 	說文: 以旁鳴者從虫單聲Etym: Addition primitive 蝉蟬單. From insect 虫 and phonetic 单單. Meaning cicada. (单單 is a picture of a cicada.)Phon: 單 chan2 shan4 dan1 Simplify: (虫) left of (s单單)
蝌[蝌]	 	Etym: From insect 虫 and phonetic 科. Meaning tadpole.Phon: 科 ke1 禾 he2 
蝗[蝗]	 	說文: 螽也從虫皇聲Etym: From insect 虫 and phonetic 皇. Meaning locust.Phon: 皇 huang2 王 wang2 wang4 wang3 
蝙[蝙]	 	說文: 蝙蝠也從虫扁聲Etym: From insect 虫 and phonetic 扁. Meaning bat.Phon: 扁 bian3 
蝠[蝠]	 	說文: 蝙蝠服翼也從虫畐聲Etym: From insect 虫 and phonetic 畐. Meaning bat.Phon: 畐 fu2 bi4 
[蝨]	 	說文: 齧人蟲從**卂聲
蝴[蝴]	 	Etym: From insect 虫 and phonetic 胡. Meaning butterfly.Phon: 胡 hu2 古 gu3 gu4 ku1 
蝶[蝶]	 	Etym: From insect 虫 and phonetic 枼. Meaning butterfly.Phon: 枼 ye4 die2 
蝼[螻]	 	說文: 螻蛄也從虫婁聲一曰天螻Phon: 婁 lü3 lou2 女 nü3 nü4 ru3 Simplify: (虫) left of (s娄婁)
螃[螃]	 	Etym: From insect 虫 and phonetic 旁. Meaning crab.Phon: 旁 pang2 bang4 方 fang1 fang3 pang2 
融[融]	 	說文: 炊气上出也從鬲蟲省聲Etym: From caldron 鬲 and remnant phonetic 虫蟲. Meaning to melt.Phon: 虫 hui3 chong2 
螟[螟]	 	說文: 蟲食穀葉者吏冥冥犯法即生螟從虫從冥冥亦聲Etym: From insect 虫 and phonetic 冥. Meaning a caterpiller. (冥 may be a picture of a caterpiller)Phon: 冥 ming2 
螫[螫]	 	說文: 蟲行毒也從虫赦聲Phon: 赦 she4 shi4 赤 chi4 
螳[螳]	 	說文: 螳蜋也從虫堂聲Phon: 堂 tang2 尚 shang4 chang2 dang4 
螺[螺]	 	Etym: From insect 虫 and phonetic 累. Meaning conch.Phon: 累纍 lei2 lei4 lei3 畾 lei2 
蟀[蟀]	 	Etym: From insect 虫 and phonetic 率. Meaning cricket.Phon: 率 shuai4 lu4 
蟆[蟆]	 	說文: 蝦蟆也從虫莫聲Etym: From insect 虫 and phonetic 莫. Meaning frog or toad.Phon: 莫 mo4 mu4 
蟋[蟋]	 	說文: 蟋蟀也從虫悉聲Etym: From insect 虫 and phonetic 悉. Meaning cricket.Phon: 悉 xi1 
蟥[蟥]	 	Etym: From insect 虫 and phonetic 黄. Meaning leech.
虫[蟲]	 	說文: 有足謂之蟲無足謂之豸從三蟲凡蟲之屬皆從蟲Phon: 虫 hui3 chong2 Simplify: (deletion 虫蟲)
蟹[蟹]	 	說文: 有二敖八足旁行非蛇鮮之穴無所庇從虫解聲Etym: From insect 虫 and phonetic 解. Meaning a crab.Phon: 解 xie4 jie4 jie3 
蝎[蠍]	 	Etym: From insect 虫 and phonetic remnant 曷歇. Meaning scorpion.Phon: 歇 xie1 曷 he2 匃丐 gai4 
蠕[蠕]	 	Etym: From insect 虫 and phonetic 需. Meaning wasp.Phon: 耎 ruan3 nuo4 C
蜡[蠟]	 	Etym: From insect 虫 (bees wax) and phonetic (also meaning night) 昔巤 . Meaning wax for a candle.Phon: 巤 lie4 Simplify: (虫) left of (phonetic-phonetic substitution 昔巤)
蠡[蠡]	 	說文: 蟲齧木中也從**彖聲
蠢[蠢]	 	說文: 蟲動也從**春聲Etym: From insect 虫 and phonetic 春. Meaning wiggle.Phon: 春 chun1 chun3 屯 tun2 zhun1 
蚕[蠶]	 	說文: 任絲也從**朁聲Etym: Deletion remnant 蚕(t蠶). From insect 虫 and phonetic 天朁 [From mouth 曰 and phonetic 兓]. Meaning silkworms.Phon: 朁 can3 qian2 jian4 兂 zan3 Simplify: super cursive simplification -md(蚕天(蠶-朁虫)→)
蠹[蠹]	 	說文: 木中蟲從**橐聲Phon: 橐 tuo2 du4 
血[血]	 	說文: 祭所薦牲血也從皿一象血形凡血之屬皆從血Etym: Primitive pictograph 血. A basin (bowl) of sactificial blood. Meaning blood.Phon: 血 xie3  (productive phonetic)
衅[釁]	 	說文: 血祭也象祭灶也從爨省從酉酉所以祭也從分分亦聲臣鉉等曰分布也Etym: From blood 血 and half (also meaning to separate) 半. Meaning to smear with blood, a rift between people.Phon: 興 xing1 xing4 Simplify: (character substitution 衅釁)
行[行]	 	說文: 人之步趨也從彳從亍凡行之屬皆從行Etym: Primitive pictograph 行. Is the intersection of two roads. Meaning to walk.Phon: 行 xing2 xing4 hang2  (productive phonetic)
衍[衍]	 	說文: 水朝宗于海也從水從行Etym: From road intersection 行 and water  氵水. Meaning to overflow.
衔[銜]	 	說文: 馬勒口中從金從行銜行馬者也Etym: From metal 钅金  and road intersection 行. Meaning bit in the mouth.Simplify: (行) left of (C08钅金)
街[街]	 	說文: 四通道也從行圭聲Etym: From road intersection 行 and phonetic 圭. Meaning street.Phon: 圭 gui1 
衙[衙]	 	說文: 行貌從行吾聲Etym: From road intersection 行 and phonetic 吾. Meaning public office.Phon: 吾 wu2 五 wu3 
衡[衡]	 	說文: 牛觸橫大木其角從角從大行聲詩曰設其楅衡Etym: From use 角 and big 大 or 𡙏*  and phonetic 行. Meaning to weigh.Phon: 行 xing2 xing4 hang2 
衢[衢]	 	說文: 四達謂之衢從行瞿聲Phon: 瞿 ju4 qu2 
衣[衣]	 	說文: 依也上曰衣下曰裳象覆二人之形凡衣之屬皆從衣Etym: Primitive pictograph 衣. Cloths.Phon: 衣 yi1 yi4  (productive phonetic)
补[補]	 	說文: 完衣也從衣甫聲Etym: From cloths 衤衣 and phonetic 卜甫. Meaning patch.Phon: 甫 fu3 pu3 父 fu3 fu4 Simplify: (衤) left of (phonetic-phonetic substitution 卜甫)
表[表]	 	說文: 上衣也從衣從毛古者衣裘以毛為表Phon: 表 biao3  (productive phonetic)
衩[衩]	 	Etym: From cloths 衤衣 and phonetic 叉. Meaning an opening in the cloths.
衫[衫]	 	說文: 衣也從衣彡聲Etym: From cloths 衤衣 and phonetic 彡. Meaning shirt.Phon: 彡 shan1 
衬[襯]	 	Etym: From cloths 衤衣 and phonetic 寸親. Meaning underwear.Phon: 親 qing4 qin1 亲 qin1 辛 xin1 Simplify: (衤) left of (phonetic-phonetic substitution 寸親)
衮[袞]	 	說文: 天子享先王卷龍繡於下幅一龍蟠阿上鄉從衣公聲Etym: From cloths 衣 and phonetic 公㕣. Meaning ceremonial dress.Phon: 袞衮 gun3 公 gong1  (productive phonetic)
衰[衰]	 	說文: 艸雨衣秦謂之萆從衣象形Etym: From cloths 衣 and grass clothing 冄. Meaning decline.Phon: 衰 shuai1 cui1  (productive phonetic)
衷[衷]	 	說文: 裏褻衣從衣中聲春秋傳曰皆衷其袾Etym: From cloths 衣 and phonetic 中. Meaning from the heart.Phon: 中 zhong1 zhong4 
袁[袁]	 	說文: 長衣貌從衣**省聲Etym: Compound pictograph 袁. From cloths 衣 and phonetic (also meaning drop spindle) 叀. Meaning robe.Phon: 袁 yuan2  (productive phonetic)
袂[袂]	 	說文: 袖也從衣夬聲Phon: 夬 guai4 jue2 que1 
袋[袋]	 	Etym: From cloths 衣 and phonetic 代. Meaning pocket or bag.Phon: 代 dai4 
袍[袍]	 	說文: 襺也從衣包聲論語曰衣弊縕袍Etym: From cloths 衤衣 and phonetic 包. Meaning a long gown.Phon: 包 bao1 勹 bao1 
袒[袒]	 	說文: 衣縫解也從衣旦聲Etym: From cloths 衤衣 and phonetic 旦. Meaning maked.Phon: 旦 dan4 
袖[袖]	 	說文: 俗褎從由Etym: From cloths 衤衣 and phonetic 由. Meaning sleeve.Phon: 由 you2 zhou4 di2 
袜[襪]	 	Etym: From cloths 衤衣 and phonetic 末. Meaning socks.Phon: 蔑 mie4 苜 mie4 mu4 目 mu4 Simplify: (衤) left of (phonetic-phonetic substitution 末蔑)
袤[袤]	 	說文: 衣帶以上從衣矛聲一曰南北曰袤東西曰廣Phon: 矛 mao2 
被[被]	 	說文: 寑衣也長一身有半從衣皮聲Etym: From cloths 衣 and phonetic 皮. Original meaning bedding.Phon: 皮 pi2 bo1 
袭[襲]	 	說文: 左衽袍從衣龖省聲Etym: Deleted remnant 袭襲𧟟. From cloths 衣 and  remnant phonetic double dragon 龙龍龖. Original. Meaning grave cloths.Simplify: (s龙龍) above (衣)
袱[袱]	 	Etym: From cloths 衤衣 and phonetic 伏. Meaning a piece of cloth to wrape bundles.Phon: 伏 fu2 
裁[裁]	 	說文: 制衣也從衣聲Etym: From cloths 衣 and phonetic 𢦔. Meaning to cut out, as in making cloths.Phon: (哉-口 D84A DD8F) zai1 才 cai2 
裂[裂]	 	說文: 繒餘也從衣列聲Etym: From cloths 衣 (being open) and phonetic 列 (also indicates separation of meat). Meaning break open.Phon: 列 lie4 
装[裝]	 	說文: 裹也從衣壯聲Etym: From cloths 衣 and phonetic 壮壯. Meaning dress.Phon: 壯 zhuang4 zhuang1 爿qiang2 Simplify: (super cursive simplification 壯壮) above (衣)
裆[襠]	 	Etym: From cloths 衤衣 and phonetic 当當. Meaning croch of pants.Phon: 當 dang3 dang4 dang1 尚 shang4 chang2 dang4 Simplify: (衤) left of (s当當)
[裏]	 	說文: 衣內也從衣里聲Phon: 里 li3 Simplify: (deletion 里(裏-衣))
裔[裔]	 	說文: 衣裾也從衣冏聲臣鉉等曰冏非聲疑象衣裾之形Phon: 衣 yi1 yi4 
裕[裕]	 	說文: 衣物饒也從衣谷聲易曰有孚裕無咎Etym: From cloths 衤衣 and phonetic 谷. Meaning rich. (good cloths meant you were rich)Phon: 谷 gu3 yu4 
裘[裘]	 	說文: 皮衣也從衣求聲一曰象形與衰同意凡裘之屬皆從裘Phon: 求 qiu2 
裙[裙]	 	Etym: From cloths 衤衣 and phonetic 君. Meaning skirt.Phon: 君 jun1 
[裡]	 	說文: 衣內也從衣里聲Phon: 里 li3 
裨[裨]	 	說文: 椄益也從衣卑聲Phon: 卑 bei1 
裳[裳]	 	說文: 常或從衣Etym: From cloths 衣 and phonetic 尚. Meaning cloths.Phon: 尚 shang4 chang2 dang4 
裴[裴]	 	說文: 長衣貌從衣非聲臣鉉等案漢書裴回用此今俗作徘徊非是Phon: 非 fei1 fei3 
裸[裸]	 	說文: **或從果Etym: From cloths 衤衣 and phonetic 果. Meaning bare.Phon: 果 guo3 luo3 
裹[裹]	 	說文: 纏也從衣果聲Etym: From cloths 衣 and phonetic 果. Meaning to wrap.Phon: 果 guo3 luo3 
[製]	 	說文: 裁也從衣從制Phon: 制 zhi4 Simplify: (deletion 制(製-衣))
褂[褂]	 	Etym: From cloths 衤衣 and phonetic 卦. Meaning jacket.Phon: 卦 gua4 圭 gui1 
[複]	 	說文: 重衣皃從衣复聲一曰褚衣Phon: 复 fu4 Simplify: (deletion 复(複-衤))
褐[褐]	 	說文: 編枲韤一曰粗衣從衣曷聲Etym: From cloths 衤衣 and phonetic 曷. Meaning coarse woolen cloth.Phon: 曷 he2 e4 he4 匃丐 gai4 
褒[褒]	 	說文: 衣博裾從衣**省聲**古文保Etym: From cloths 衣 and phonetic 保. Meaning to praise.Phon: 保 bao3 呆 bao3 dai1 
褚[褚]	 	說文: 卒也從衣者聲一曰製衣Phon: 者 zhe3 zhu1 zhu4 
褛[褸]	 	說文: 衽也從衣婁聲Phon: 婁 lü3 lou2 女 nü3 nü4 ru3 Simplify: (衤) left of (s娄婁)
褥[褥]	 	Etym: From cloths 衤衣 and phonetic 辱. Meaning mattressPhon: 辱 ru4 
褪[褪]	 	Etym: From cloths 衤衣 and phonetic 退. Meaning undress.Phon: 退 tui4 
褫[褫]	 	說文: 奪衣從衣虒聲讀若池Phon: 虒 si1 ti2 
[褱]	 	說文: 俠也從衣眔聲有曰橐臣鉉等曰眔非聲未詳Phon: 褱 huai2  (productive phonetic)
褴[襤]	 	說文: 裯謂之襤褸襤無緣也從衣監聲Phon: 監 jian1 jian4 kan4 Simplify: (衤) left of (s监監)
襄[襄]	 	說文: 漢令解衣耕謂之襄從衣**聲Etym: From cloths 衣 and remnant (mouth 口 cutting, weaving ) things necessary to help in making cloths. Meaning to helpPhon: 襄 xiang1  (productive phonetic)
袄[襖]	 	說文: 裘屬從衣奧聲Etym: From cloths 衤衣 and phonetic 夭奥. Meaning outer garment.Phon: 奧 ao4 Simplify: (衤) left of (phonetic-phonetic substitution 夭奧)
襟[襟]	 	Etym: From cloths 衤衣 and phonetic 禁. Meaning collar.Phon: 禁 jin1 jin4 林 lin2 
[襾]	 	說文: 覆也從冂上下覆之凡襾之屬皆從襾讀若**Phon: 襾覀 xia4  (productive phonetic)
西[西]	 	說文: 鳥在巢上象形日在西方而鳥棲故因以為東西之西凡西之屬皆從西Etym: Primitive pictograph 西. A wrapped package indicating "something" 西 as in 东西. Borrowed for sound to mean west.Phon: 西 xi1  (productive phonetic)
要[要]	 	說文: 古文要Etym: Primitive pictograph 要. From woman 女 and remnant 西 (the waist). Now. Meaning necessary.Phon: 要 yao1 yao4  (productive phonetic)
覃[覃]	 	說文: 長味也從D84C DDAA鹹省聲詩曰實覃實吁Etym: Primitive pictograph 覃. From * and remnant phonetic 鹹. Meaning to spread to.Phon: 覃 tan2  (productive phonetic)
覆[覆]	 	說文: 覂也一曰蓋也從襾靇復聲Etym: From 西(possibly an upside down bowl)  and phonetic (also meanin to return) 復 (from motion 彳and phonetic (also meaning return) 复) original meaning to pour out. Meaning to reply.Phon: 復 fu4 复 fu4 
见[見]	 	說文: 視也從儿從目凡見之屬皆從見Etym: Primitive pictograph 见見. From eye 目 and human 儿. Meaning to see.Phon: 見 xian4 jian4  (productive phonetic)Simplify: (super cursive simplification 见見)
规[規]	 	說文: 有法度也從夫從見Etym: From see 见見 and husband 夫. Meaning rules.Phon: 規 gui1  (productive phonetic)Simplify: (夫) left of (s见見)
